Tree ID,Name,Oxygen_Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
5134,Quercus rubra,9.5,9,2.7,7,38.5
5135,Quercus rubra,4.6,6,1.8,4,12.6
5136,Quercus rubra,4.1,5,1.5,3,7.1
5137,Quercus rubra,6.9,6,1.8,4,12.6
5138,Quercus rubra,4.6,5,1.5,4,12.6
5139,Quercus rubra,2.2,4,1.2,2.5,4.9
5140,Quercus rubra,8.199999999999999,7,2.1,5,19.6
5141,Quercus rubra,3.1,4.5,1.3,3,7.1
5142,Quercus rubra,4.6,5,1.5,4,12.6
5143,Quercus rubra,4.1,4,1.2,3,7.1
5144,Quercus rubra,4.1,5,1.5,4,12.6
5145,Quercus rubra,6.9,5,1.5,5,19.6
5146,Fraxinus,6.3,5,1.5,4,12.6
5147,Fraxinus,6.3,5,1.5,4,12.6
5148,Fraxinus,10.2,6,1.8,4,12.6
5149,Fraxinus,7.9,6,1.8,5,19.6
5150,Liriodendron tulipifera,6.7,6,1.8,2,3.1
5151,Fraxinus,6.8,4,1.2,3,7.1
5152,Fraxinus,11.8,6,1.8,6,28.3
5153,Fraxinus,1.5,6,1.8,3,7.1
5154,Fraxinus,9.4,6,1.8,3,7.1
5155,Fraxinus,4.9,5,1.5,2,3.1
5156,Fraxinus,15.2,6,1.8,6,28.3
5157,Fraxinus,14.3,6,1.8,6,28.3
5158,Fraxinus,5.4,3.5,1,1,0.8
5159,Fraxinus,10.2,6,1.8,6,28.3
5160,Fraxinus,10.2,6,1.8,6,28.3
5163,Platanus,80.2,22,6.6,18,254.5
5164,Platanus,97.2,20,6,20,314.2
5165,Tilia x europaea,19.1,7,2.1,6,28.3
5167,Tilia x europaea,10,6,1.8,4,12.6
5168,Tilia x europaea,19.1,8,2.4,6,28.3
5169,Tilia x europaea,11.1,4.5,1.3,4,12.6
5171,Abies alba,5.4,10,3,5,19.6
5172,Tilia x europaea,17.9,7,2.1,4,12.6
5173,Tilia x europaea,16.7,8,2.4,8,50.3
5174,Picea abies,8.1,20,6,4,12.6
5175,Pseudotsuga menziesii,6.3,20,6,4,12.6
5177,Pseudotsuga menziesii,2.4,11,3.3,4,12.6
5178,Pseudotsuga menziesii,4.5,12,3.6,6.5,33.2
5179,Pseudotsuga menziesii,4.5,12,3.6,7,38.5
5181,Tilia x europaea,22.9,8,2.4,8,50.3
5182,Tilia x europaea,24.2,8,2.4,6.5,33.2
5192,Paulownia tomentosa,18.9,14,4.2,6,28.3
5193,Celtis australis,4.5,13,3.9,7,38.5
5216,Koelreuteria paniculata,30.6,8,2.4,7,38.5
5217,Platanus x hispanica,80.2,24,7.2,20,314.2
5218,Platanus x hispanica,0.7,25,7.5,24,452.4
5234,Ulmus pumila,85.2,20,6,14,153.9
5235,Prunus,16.9,6,1.8,7,38.5
5236,Celtis australis,0.7,9,2.7,8,50.3
5240,Liriodendron tulipifera,8.6,11,3.3,4,12.6
5241,Liriodendron tulipifera,2.8,5,1.5,2,3.1
5242,Acer platanoides,26,9,2.7,4,12.6
5243,Acer campestre,1.9,2,0.6,1,0.8
5244,Acer platanoides,31.4,11,3.3,6,28.3
5245,Prunus mahaleb,12.9,6,1.8,8,50.3
5246,Prunus,13,5,1.5,3.7,10.9
5247,Acer campestre,2.9,3.5,1,2,3.1
5248,Acer campestre,4.4,4,1.2,3.5,9.6
5249,Acer campestre,2.6,3.5,1,2,3.1
5250,Acer campestre,3.5,6,1.8,6,28.3
5251,Acer campestre,4.5,5.2,1.6,3.4,9.1
5252,Acer campestre,4.5,5.2,1.6,3.4,9.1
5253,Acer negundo,14,7,2.1,9,63.6
5254,Acer negundo,18.5,8,2.4,12,113.1
5255,Acer negundo,22.8,13,3.9,14,153.9
5256,Acer negundo,22,13,3.9,12,113.1
5257,Acer negundo,18.5,8,2.4,12,113.1
5258,Acer negundo,18.7,8.699999999999999,2.6,7.2,41.1
5259,Acer negundo,15.4,7,2.1,7,38.5
5260,Acer negundo,13.1,9,2.7,7,38.5
5261,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5262,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5263,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5264,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5265,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5266,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5267,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5268,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5269,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5270,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5271,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5272,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5273,Acer platanoides,15.2,6.9,2.1,5.7,25.9
5274,Nerium oleander,4,4,1.2,2.5,4.9
5275,Nerium oleander,4,3.5,1,2,3.1
5276,Tilia x europaea,24.2,15,4.5,3,7.1
5277,Tilia x europaea,0.9,8,2.4,1,0.8
5279,Ligustrum lucidum,12.3,7,2.1,5,19.8
5280,Liquidambar styraciflua,4.3,7,2.1,6,28.3
5281,Cedrus deodara,46.2,21.5,6.4,13,132.7
5282,Cedrus deodara,14.4,25,7.5,15,176.7
5283,Fraxinus excelsior,11.1,12,3.6,3,7.1
5284,Fraxinus excelsior,19.6,12,3.6,8,50.3
5285,Abies alba,10.2,10,3,3,7.1
5286,Abies alba,10.2,15,4.5,7,38.5
5287,Abies alba,5.4,8,2.4,3,7.1
5288,Abies alba,6,12,3.6,3,7.1
5289,Cedrus libani,64.40000000000001,22,6.6,5,19.6
5290,Celtis australis,3.4,20,6,3,7.1
5291,Diospyros lotus,3.6,7,2.1,4,12.6
5292,Fraxinus ornus,4.8,25,7.5,4,12.6
5293,Prunus,19,7,2.1,3,7.1
5294,Robinia pseudoacacia,15.7,20,6,5,19.6
5295,Pyrus,6.9,5,1.5,4,12.6
5296,Pyrus,10.4,6,1.8,3,7.1
5297,Aesculus hippocastanum,15.1,8,2.4,6,28.3
5298,Acer palmatum,8.6,1.5,0.5,5,19.4
5299,Quercus rubra,3.6,4,1.2,2,3.1
5307,Tilia x europaea,24.2,8,2.4,6,28.3
5308,Tilia x europaea,13.3,6,1.8,3,7.1
5309,Tilia x europaea,33.8,10,3,9,63.6
5310,Tilia x europaea,42.6,10,3,10,78.5
5311,Tilia x europaea,45.7,10,3,10,78.5
5312,Tilia x europaea,48.8,10,3,10,78.5
5313,Tilia x europaea,28.2,10,3,8,50.3
5314,Carpinus betulus,17.5,14,4.2,4,12.6
5315,Carpinus betulus,11.2,12,3.6,6,28.3
5316,Carpinus betulus,11.2,10,3,6,28.3
5317,Carpinus betulus,11.9,12,3.6,7,38.5
5318,Carpinus betulus,8.6,14,4.2,7,38.5
5319,Carpinus betulus,14.8,13,3.9,7,38.5
5320,Celtis australis,3.1,9,2.7,8,50.3
5321,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5322,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5323,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5324,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5325,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5326,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5327,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5328,Fraxinus ornus,7.3,6.7,2,4.9,19.2
5330,Fagus sylvatica,4.7,8,2.4,8,50.3
